trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-122.21291356073012,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-203.54548709907144,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-62.830443258515,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-180.68027628290358,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-24.898421243379367,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-105.45656521021023,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,7,-50.69605607000006,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-149.10706233589843,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-127.593938147279,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-125.81110802643306,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-122.45428356778521,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-82.67343014282535,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-24.949176227187195,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-8.014219735343719,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-27.86043186325159,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-88.14520228683602,"{0: 31, 1: 0, 2: 1, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-95.30349338760665,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,4,-7.777721327963942,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,5,-13.6206257319735,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.01}",25,0,2.569978832652357,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-14.460595661029087,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,12,-0.6436332236342694,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,27.42869331863647,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-57.50194959525289,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,2,23.23931250324658,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,-14.483335557973334,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-42.45287305111301,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,10,14.742276834642674,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,0,23.228638386490545,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-21.695741584429225,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
