trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",25,6,-94.75952299126025,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.81}",20,0,-178.43625564000712,"{0: 10, 1: 4, 2: 1, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",25,0,-91.52170159468247,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.6561000000000001}",25,7,-68.96131414728846,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.5904900000000002}",30,12,-48.590589825935325,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.5314410000000002}",20,0,-23.791025415731408,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.47829690000000014}",30,0,-113.64924343837602,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.43046721000000016}",25,13,-37.980325879947905,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.38742048900000015}",25,0,24.96168251435013,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.34867844010000015}",25,10,6.453489912059334,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.31381059609000017}",20,1,-7.749664607303945,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.28242953648100017}",30,0,17.307421632445738,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.25418658283290013}",20,10,16.44177495905944,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.22876792454961012}",30,12,7.193101381578099,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.2058911320946491}",30,6,16.03836273496461,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.1853020188851842}",25,17,15.874664734585131,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.16677181699666577}",35,18,19.825088801766608,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1500946352969992}",20,12,2.2604563888081257,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.13508517176729928}",25,7,6.153278093656393,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.12157665459056936}",25,11,27.184511401560897,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.10941898913151243}",20,0,-15.933617739267126,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.0984770902183612}",20,12,3.380978130108325,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.08862938119652508}",25,15,18.08927137562769,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.07976644307687257}",20,9,19.75993888704062,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.07178979876918531}",25,18,3.380829852886434,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.06461081889226679}",20,0,32.30217315776744,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.05814973700304011}",30,16,27.86443645908478,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.0523347633027361}",35,21,25.0468185127661,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.04710128697246249}",20,10,16.48943047019896,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,7,29.699234558516743,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,20,7.837198134073279,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
