trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.996}",20,4,-67.86228043547811,"{0: 9, 1: 2, 2: 3, 3: 2, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.992}",25,0,-149.88783974523815,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.988}",20,8,-40.5587025096913,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.984}",20,0,-127.78365555481844,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.98}",30,0,-104.11519855721971,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.976}",20,0,-95.13094279748857,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.972}",20,0,-83.91322142521749,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.968}",25,0,-90.94320006352143,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.964}",25,0,-138.99433105214115,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.96}",25,0,-68.23420485479726,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.956}",25,0,-222.55108617968492,"{0: 12, 1: 3, 2: 4, 3: 3, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.952}",25,0,-148.065372863188,"{0: 12, 1: 1, 2: 10, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.948}",20,0,-164.3198433863008,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.944}",25,0,-76.13933938378933,"{0: 19, 1: 3, 2: 0, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.94}",20,10,-25.607470096337636,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.9359999999999999}",20,0,-60.17483126346251,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9319999999999999}",30,0,-89.31308011852325,"{0: 19, 1: 1, 2: 9, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9279999999999999}",20,0,-203.23697254011987,"{0: 10, 1: 1, 2: 3, 3: 3, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9239999999999999}",20,0,-88.22016847273369,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9199999999999999}",30,0,-75.5836678579396,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,19,10.52989465314489,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,-186.07154906399558,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-84.2144551928747,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-107.24012358756094,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-98.41167036623942,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-114.6072595386475,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",35,0,-132.23369841168375,"{0: 19, 1: 5, 2: 9, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-85.27457484476727,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-64.12826365770398,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-56.69209705981851,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
